Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type
McDonalds (McCafe) Latte,16.0,190,142,8.9,coffee
McDonalds (McCafe) Mocha,16.0,380,167,10.4,coffee
McDonalds Coffee,16.0,0,145,9.1,coffee
McDonalds Iced Coffee,11.5,190,133,11.6,coffee
Muscle Milk Coffee House,11.0,130,120,10.9,coffee
Mushroom Coffee,8.0,10,50,6.2,coffee
Nescafe 3 in 1 Instant Coffee,6.0,74,50,8.3,coffee
Nescafe Dolce Gusto,8.0,0,106,13.2,coffee
Nescafe Gold,8.46,0,66,7.8,coffee
Nescafe Ice Java,8.0,50,100,12.5,coffee
Nescafe Ricoffy,8.0,10,6,0.8,coffee
Nespresso Coffee Capsules,1.35,0,60,44.4,coffee
Nestle Milo,8.0,80,4,0.4,coffee
Noocaf Smart Coffee,8.0,0,160,20.0,coffee
Ocean Spray Brew,8.0,30,40,5.0,coffee
Panera Bread Coffee,16.0,15,189,11.8,coffee
Peet's Brewed Coffee,16.0,5,267,16.7,coffee
Peet's Caffe Americano,16.0,10,140,8.8,coffee
Peet's Caffe Latte,16.0,190,140,8.8,coffee
Peet's Caffe Mocha,16.0,390,165,10.3,coffee
Peet's Cappuccino,16.0,140,140,8.8,coffee
Peet's Coffee Espresso,1.5,0,70,46.7,coffee
Peet's Decaf Espresso,1.5,0,10,6.7,coffee
Peet's Iced Coffee,16.0,0,150,9.4,coffee
Peet's Iced Latte,16.0,120,140,8.8,coffee
Peet's Iced Mocha,16.0,310,165,10.3,coffee
Premier Protein Cafe Latte,11.5,160,120,10.4,coffee
Private Selection Canned Espresso,15.0,230,145,9.7,coffee
Purity Coffee,8.0,0,163,20.4,coffee
Revv Coffee Pods,8.0,0,127,15.9,coffee
Robusta Coffee,8.0,0,265,33.1,coffee
Seattle's Best Brewed Coffee,12.0,10,260,21.7,coffee
SlimFast Shake - Cappuccino,11.0,180,100,9.1,coffee
Starbucks 2X Coffee Pods,8.0,0,260,32.5,coffee
Starbucks Bottled Cold Brew,11.0,50,180,16.4,coffee
Starbucks Bottled Iced Coffee,48.0,240,640,13.3,coffee
Starbucks Canned Nitro Cold Brew,11.0,0,235,21.4,coffee
Starbucks Caramel Macchiato,16.0,250,150,9.4,coffee
Starbucks Cold & Crafted,11.0,50,135,12.3,coffee
Starbucks Cold Brew Coffee,16.0,5,205,12.8,coffee
Starbucks Cordusio Mocha,8.0,130,155,19.4,coffee
Starbucks Decaf Coffee,16.0,0,25,1.6,coffee
Starbucks Doubleshot Energy,15.0,220,135,9.0,coffee
Starbucks Doubleshot Espresso,6.5,140,120,18.5,coffee
Starbucks Frappuccino (Bottled),13.7,300,110,8.0,coffee
Starbucks Grande Caffe Americano,16.0,15,225,14.1,coffee
Starbucks Grande Caffe Latte,16.0,190,150,9.4,coffee
Starbucks Grande Caffe Mocha,16.0,370,175,10.9,coffee
Starbucks Grande Cappuccino,16.0,140,150,9.4,coffee
Starbucks Grande Coffee,16.0,5,310,19.4,coffee
Starbucks Iced Americano,16.0,15,225,14.1,coffee
Starbucks Iced Espresso Classics,12.0,190,125,10.4,coffee
Starbucks Nitro Cold Brew Coffee,16.0,5,280,17.5,coffee
Starbucks Pink Drink,16.0,140,45,2.8,coffee
Starbucks Pumpkin Cream Cold Brew,16.0,250,185,11.6,coffee
Starbucks Refreshers,16.0,70,45,2.8,coffee
Starbucks Verismo Coffee Pods,8.0,0,60,7.5,coffee
